POINT,LOC POINT,Unnamed: 2,lat,lon,geometry,distBorder
1,07°3148.2 - 034°5739.8,,-7.530056,-34.961056,POINT (283611.8963029232 9167169.180591369),2.3829370932568597
2,07°3151.4 - 034°5737.5,,-7.530944,-34.960417,POINT (283682.8726358379 9167071.273539754),64.459842629971
3,07°3151.7 - 034°5736.2,,-7.531028,-34.960056,POINT (283722.7630325756 9167062.160880387),67.23446380084954
4,07°3110.7 - 034°5755.4,,-7.519639,-34.965389,POINT (283128.4213393056 9168319.280849371),4.8381025971169525
5,07°3112.3 - 034°5746.5,,-7.520083,-34.962917,POINT (283401.5192397963 9168271.393724289),71.4871634896663
6,07°3105.2 - 034°5800.0,,-7.518111,-34.966667,POINT (282986.5866675819 9168487.662846223),2.2126416815962124
7,07°3133.4 - 034°5753.3,,-7.525944,-34.964806,POINT (283195.9095475682 9167622.159279821),30.650718557118896
8,07°3122.4 - 034°5753.3,,-7.522889,-34.964806,POINT (283194.3914962183 9167960.07987177),10.835701442373312
9,07°3124.5 - 034°5752.9,,-7.523472,-34.964694,POINT (283207.044428582 9167895.648432571),26.703890229962333
10,07°3147.5 - 034°5742.0,,-7.529861,-34.961667,POINT (283544.3545196052 9167190.447277311),48.00135788493973
11,07°3103.8 - 034°5804.7,,-7.517722,-34.967972,POINT (282842.3369152597 9168530.043663673),1.6014100086573095
12,07°3138.6 - 034°5748.5,,-7.527389,-34.963472,POINT (283343.88194466115 9167462.986034047),63.00539365422909
13,-7520444.8,-349658437.0,-7.5204448,-34.9658437,POINT (283078.6285400171 9168229.923980638),96.7176488388218
14,-75188137,-349661028.0,-7.5188137,-34.9661028,POINT (283049.2166627444 9168410.215317331),57.21063879965069
15,-7518162,-349664592.0,-7.518162,-34.9664592,POINT (283009.5506216215 9168482.124668797),5.367918390930055
16,-75303121,-349604508.0,-7.5303121,-34.9604508,POINT (283678.8280915854 9167141.15255783),3.497808793885259
17,-75290856,-349618619.0,-7.5290856,-34.9618619,POINT (283522.4555722641 9167276.119361637),27.12900582892172
18,-75306962,-349616814.0,-7.5306962,-34.9616814,POINT (283543.1796574654 9167098.056891792),101.04869778233625
19,-75299628,-349611039.0,-7.5299628,-34.9611039,POINT (283606.5626245236 9167179.465912893),0.25500838470336806
20,-75303016,-349604328.0,-7.5303016,-34.9604328,POINT (283680.80980162416 9167142.322897352),2.818369378331791
21,-75291432,-349616911.0,-7.5291432,-34.9616911,POINT (283541.3378970769 9167269.832721893),9.207621174002817
22,-7525384,-34963129.0,-7.525384,-34.963129,POINT (283380.74841984897 9167684.933532625),74.8711538728206
23,-7523721,-34962939.0,-7.523721,-34.962939,POINT (283400.896148381 9167868.975743197),56.915872714780186
24,-7522615,-34965196.0,-7.522615,-34.965196,POINT (283151.20456567977 9167990.194269657),38.71711193810792
25,-7518675,-34965552.0,-7.518675,-34.965552,POINT (283109.9493139478 9168425.830327708),3.838842588257201
26,-7518828,-34965592.0,-7.518828,-34.965592,POINT (283105.6098054012 9168408.886812523),1.3961349178278037
