Hora final,Nome,Duração (s),Categoria,Observação,STATUS,Coordenadas S,Coordenadas W,Coordenadas S.1,Coordenadas W.1,Identificação,Coordenadas Inicial,Coordenadas Final
11:04:00,021921 11.04 SAD rap,56.0,SUB,,Transcrito,-7.525111111111111,-34.96319444444445,-7.525111111111111,-34.96319444444445,,POINT (283373.38877420465 9167715.085944148),POINT (283373.38877420465 9167715.085944148)
11:11:00,021921 11.11 J3 ,289.0,J3,,Transcrito,-7.525111111111111,-34.96319444444445,-7.525111111111111,-34.96319444444445,,POINT (283373.38877420465 9167715.085944148),POINT (283373.38877420465 9167715.085944148)
11:13:00,021921 11.13 FF,146.0,FF,Nome no BORIS FF 021921 11.13 2m26s,Transcrito,-7.525111111111111,-34.96319444444445,-7.525111111111111,-34.96319444444445,,POINT (283373.38877420465 9167715.085944148),POINT (283373.38877420465 9167715.085944148)
11:21:00,021921 11.21 J2 rap,159.0,J2,,Transcrito,-7.525111111111111,-34.96319444444445,-7.525111111111111,-34.96319444444445,,POINT (283373.38877420465 9167715.085944148),POINT (283373.38877420465 9167715.085944148)
11:26:00,021921 11.26 J1,295.0,J1,j1 pequeno; últimos scan no inferior,Transcrito,-7.5248888888888885,-34.963,-7.5248888888888885,-34.963,,POINT (283394.74237485626 9167739.762779145),POINT (283394.74237485626 9167739.762779145)
11:29:00,021921 11.29 J2 2 rap,107.0,J2,fezes,Transcrito,-7.52475,-34.963,-7.52475,-34.963,,POINT (283394.6734198615 9167755.125583395),POINT (283394.6734198615 9167755.125583395)
12:04:00,021921 12.04 MA ,405.0,MA,"gps final em audio separado, no initial gps ",Transcrito,,,-7.525805555555555,-34.96202777777778,,POINT EMPTY,POINT (283502.51695843815 9167638.849908989)
12:21:00,021921 12.21 FF rap J1 rap,90.0,FF,no meio muda para J1 pequeno,Transcrito,-7.526166666666667,-34.96208333333334,-7.526166666666667,-34.96208333333334,,POINT (283496.5636468719 9167598.879121501),POINT (283496.5636468719 9167598.879121501)
12:22:00,021921 12.21 FF rap J1 rap,140.0,J1,J1 pequeno quase infante,Transcrito,-7.526166666666667,-34.96208333333334,-7.526166666666667,-34.96208333333334,,POINT (283496.5636468719 9167598.879121501),POINT (283496.5636468719 9167598.879121501)
12:22:00,021921 12.22 FF super rap,53.0,FF,,Transcrito,-7.526166666666667,-34.96208333333334,-7.526166666666667,-34.96208333333334,,POINT (283496.5636468719 9167598.879121501),POINT (283496.5636468719 9167598.879121501)
12:31:00,021921 12.31 Inf rap,74.0,INF,"FF - Inf, não mt coisa...",Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
12:37:00,021921 12.37 MA rap,172.0,MA,,Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
12:42:28,021921 12.42 MA,264.0,MA,"MA bem novo, sem barbela, quase sub, Clayton filmou com camera",Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
12:50:18,021921 12.50 J1 ,246.0,J1,"Tem video, não mt eu q filmei",Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
13:02:12,021921 13.02 J3s MAs na Jaca,164.0,J3,Começa em 26s com J3. Tem vídeo. MT silencio no audio... Melhor transcrever de novo com ajuda do vídeo ,Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
13:02:12,021921 13.02 J3s MAs na Jaca,456.0,MA ,Começa em 3:10 MAs com J3s; vários no pé de jaca; Tem vídeo,Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
13:09:00,021921 13.09 FA,139.0,FA,Até 2m19 depois filma ff um pouco e o resto só fala,Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
13:22:36,021921 13.22 J2 ,329.0,J2,msm ponto da Jaca,Transcrito,-7.52625,-34.96219444444445,-7.52625,-34.96219444444445,,POINT (283484.3399434212 9167589.606406134),POINT (283484.3399434212 9167589.606406134)
13:32:50,021921 13.32 Inf rap,100.0,INF,acaba em 1m40s,Transcrito,-7.52625,-34.96233333333333,-7.526527777777778,-34.96233333333333,,POINT (283469.0086114564 9167589.537605222),POINT (283469.14650311565 9167558.812006691)
13:39:44,021921 13.39 Inf sup rap,39.0,INF,Mt pouco... ,Transcrito,,,,,,POINT EMPTY,POINT EMPTY
12:29:10,022021 12.49 FF ,1676.0,FF,"FF sendo catada por FG por mt tempo; tem vídeo a partir de 2m30s até 6m30s;  18m50s filma de novo, Era borda; 47 min to transcribe",Transcrito,-7.52825,-34.96205555555556,-7.52825,-34.96205555555556,,POINT (283500.664066239 9167368.450920809),POINT (283500.664066239 9167368.450920809)
13:10:38,022021 13.10 FF ,876.0,FF,"FF sendo catada por FA, video grava até 13 min",Transcrito,-7.52825,-34.96205555555556,-7.52825,-34.96205555555556,,POINT (283500.664066239 9167368.450920809),POINT (283500.664066239 9167368.450920809)
13:52:40,022021 13.52 FF,353.0,FF,"FF no chão, vem video de 3m a 5m",Transcrito,-7.528722222222222,-34.96191666666667,-7.528722222222222,-34.96191666666667,,POINT (283516.2297562157 9167316.28622057),POINT (283516.2297562157 9167316.28622057)
14:01:20,022021 14.01 FF rap,88.0,FF,mt rápido,Transcrito,-7.528722222222222,-34.96180555555556,-7.528722222222222,-34.96180555555556,,POINT (283528.49474928284 9167316.341267636),POINT (283528.49474928284 9167316.341267636)
13:26:44,030221 13.09 FA ,238.0,FA,fa no dendê,Transcrito,-7.521722222222222,-34.96341666666667,-7.521722222222222,-34.96341666666667,,POINT (283347.1760163774 9168089.828313915),POINT (283347.1760163774 9168089.828313915)
14:10:52,030221 14.10 MA,273.0,MA,"ma no dendê, nome original do arquivo MA 030221 14.10 4m33s",Transcrito,,,-7.523611111111111,-34.96458333333334,,POINT EMPTY,POINT (283219.3296381364 9167880.315901693)
12:56:00,030521 12.56 FA,158.0,FA,Nome no BORIS FA 030521 12.56 2m38s,Transcrito,,,-7.516972222222222,-34.968111111111114,,POINT EMPTY,POINT (282826.60785182903 9168612.909410356)
14:17:34,030521 14.17 FF ,168.0,FF,maior parte é inf,Transcrito,-7.51775,-34.966944444444444,-7.51775,-34.966944444444444,,POINT (282955.780720716 9168527.456317808),POINT (282955.780720716 9168527.456317808)
14:59:26,030521 14.59 FF rap,60.0,FF,"Perde em 1 m, mas prov se loc",Transcrito,-7.51775,-34.966944444444444,-7.51775,-34.966944444444444,,POINT (282955.780720716 9168527.456317808),POINT (282955.780720716 9168527.456317808)
11:53:36,030721 11.53 MA,58.0,MA,,Transcrito,-7.520305555555556,-34.96244444444445,-7.520305555555556,-34.96244444444445,,POINT (283453.79370927194 9168247.01032988),POINT (283453.79370927194 9168247.01032988)
11:54:58,030721 11.54 FA,42.0,FA,"Mt curto, mas 1o scan",Transcrito,-7.520305555555556,-34.96244444444445,-7.520305555555556,-34.96244444444445,,POINT (283453.79370927194 9168247.01032988),POINT (283453.79370927194 9168247.01032988)
